# Le message WeChat (story 4b.7) : les échanges de chaque dialogue, dans l'ordre.
#
# Source : rédigé pour l'app, sans API ; à relire. Des phrases courtes, qui ne
# s'écrivent qu'avec les caractères que les parcours posent (`wenlu check`).
#
# Conventions de pinyin, celles des fiches (`pinyin.py`) : tons du dictionnaire,
# sans sandhi (一 s'écrit yī, 不 bù), un mot d'un seul tenant, ponctuation latine.
# Chaque caractère doit se lire par l'une de ses lectures ; `wenlu check` aligne, et
# l'export en tire le pinyin de chaque caractère, que l'app montre au toucher.
#
# Format : TSV, `#` en commentaire, sept colonnes séparées par une tabulation :
# `dialogue` (l'`id` de `dialogues.tsv`), `role`, `zh`, `pinyin`, `fr`, `en`, `erreur`.
#
# Un échange commence par un message de l'ami (`ami`), suivi d'une bonne réplique
# (`juste`) et de deux ou trois mauvaises (`faux`) : trois ou quatre répliques. Une
# mauvaise réplique dit ce qui cloche (`erreur`) : `hors-sujet` (elle parle d'autre
# chose) ou `contresens` (elle lit mal le message : 今天 pour 明天, 茶 pour 菜, un
# « oui » qui contredit). Un dialogue a de deux à quatre échanges ; un dernier message
# de l'ami (`fin`), sans réplique, peut le clore.
dialogue	role	zh	pinyin	fr	en	erreur
dianhua	ami	有，明天我在家。	Yǒu, míngtiān wǒ zài jiā.	Oui, demain je suis à la maison.	Yes, I'm home tomorrow.	
dianhua	juste	好，我明天去你家！	Hǎo, wǒ míngtiān qù nǐ jiā!	Bien, je passe chez toi demain !	OK, I'll come over tomorrow!	
dianhua	faux	好，你明天不在家。	Hǎo, nǐ míngtiān bù zài jiā.	D'accord, tu n'es pas chez toi demain.	OK, you won't be home tomorrow.	contresens
dianhua	faux	我是学生。	Wǒ shì xuésheng.	Je suis étudiant.	I'm a student.	hors-sujet
jiaren	ami	你家有几口人？	Nǐ jiā yǒu jǐ kǒu rén?	Vous êtes combien dans ta famille ?	How many people are there in your family?	
jiaren	juste	四口人：爸爸、妈妈、哥哥和我。	Sì kǒu rén: bàba, māma, gēge hé wǒ.	Quatre : papa, maman, mon grand frère et moi.	Four: dad, mum, my older brother and me.	
jiaren	faux	三口人：爸爸、妈妈、哥哥和我。	Sān kǒu rén: bàba, māma, gēge hé wǒ.	Trois : papa, maman, mon grand frère et moi.	Three: dad, mum, my older brother and me.	contresens
jiaren	faux	我有很多书。	Wǒ yǒu hěn duō shū.	J'ai beaucoup de livres.	I've got lots of books.	hors-sujet
jiaren	ami	你哥哥多大了？	Nǐ gēge duō dà le?	Il a quel âge, ton frère ?	How old is your brother?	
jiaren	juste	他二十岁。	Tā èrshí suì.	Il a vingt ans.	He's twenty.	
jiaren	faux	他很高。	Tā hěn gāo.	Il est très grand.	He's very tall.	contresens
jiaren	faux	我想喝茶。	Wǒ xiǎng hē chá.	J'ai envie d'un thé.	I feel like some tea.	hors-sujet
jiaren	ami	他也学中文吗？	Tā yě xué Zhōngwén ma?	Il apprend le chinois, lui aussi ?	Is he learning Chinese too?	
jiaren	juste	不，他学日语。	Bù, tā xué Rìyǔ.	Non, il apprend le japonais.	No, he's learning Japanese.	
jiaren	faux	是，他学日语。	Shì, tā xué Rìyǔ.	Oui, il apprend le japonais.	Yes, he's learning Japanese.	contresens
jiaren	faux	外面很冷。	Wàimian hěn lěng.	Il fait très froid dehors.	It's very cold outside.	hors-sujet
hanzi	ami	你在学写汉字吗？	Nǐ zài xué xiě Hànzì ma?	Tu apprends à écrire les caractères ?	Are you learning to write characters?	
hanzi	juste	是，我天天写。	Shì, wǒ tiāntiān xiě.	Oui, j'écris tous les jours.	Yes, I write every day.	
hanzi	faux	是，我天天看电影。	Shì, wǒ tiāntiān kàn diànyǐng.	Oui, je regarde un film tous les jours.	Yes, I watch a film every day.	contresens
hanzi	faux	外面很冷。	Wàimian hěn lěng.	Il fait très froid dehors.	It's very cold outside.	hors-sujet
hanzi	ami	很好！“天”字你会写吗？	Hěn hǎo! "Tiān" zì nǐ huì xiě ma?	Très bien ! Tu sais écrire le caractère « 天 » ?	Great! Can you write the character "天"?	
hanzi	juste	会，“天”是“一”和“大”。	Huì, "tiān" shì "yī" hé "dà".	Oui : « 天 », c'est « 一 » et « 大 ».	Yes: "天" is "一" plus "大".	
hanzi	faux	会，“天”是“人”和“口”。	Huì, "tiān" shì "rén" hé "kǒu".	Oui : « 天 », c'est « 人 » et « 口 ».	Yes: "天" is "人" plus "口".	contresens
hanzi	faux	我有一个哥哥。	Wǒ yǒu yī ge gēge.	J'ai un grand frère.	I have an older brother.	hors-sujet
hanzi	fin	对！你学得很好。	Duì! Nǐ xué de hěn hǎo.	Exactement ! Tu apprends bien.	Right! You're learning well.	
leng	ami	今天很冷！	Jīntiān hěn lěng!	Il fait très froid aujourd'hui !	It's really cold today!	
leng	juste	是，外面很冷。	Shì, wàimian hěn lěng.	Oui, il fait très froid dehors.	Yes, it's very cold outside.	
leng	faux	不冷？太好了！	Bù lěng? Tài hǎo le!	Il ne fait pas froid ? Tant mieux !	Not cold? Great!	contresens
leng	faux	这本书很好。	Zhè běn shū hěn hǎo.	Ce livre est très bien.	This book is great.	hors-sujet
leng	ami	下午我不出门了，你呢？	Xiàwǔ wǒ bù chūmén le, nǐ ne?	Cet après-midi, je ne sors pas. Et toi ?	I'm not going out this afternoon. What about you?	
leng	juste	我也在家。	Wǒ yě zài jiā.	Moi aussi, je reste à la maison.	I'm staying home too.	
leng	faux	我也出门。	Wǒ yě chūmén.	Moi aussi, je sors.	I'm going out too.	contresens
leng	faux	我有两个哥哥。	Wǒ yǒu liǎng ge gēge.	J'ai deux grands frères.	I have two older brothers.	hors-sujet
leng	fin	好，在家喝茶！	Hǎo, zài jiā hē chá!	Bien, thé à la maison !	Right, tea at home!	
xinpengyou	ami	我有一个新朋友，她想认识你。	Wǒ yǒu yī ge xīn péngyou, tā xiǎng rènshi nǐ.	J'ai une nouvelle amie, elle aimerait te connaître.	I've got a new friend who'd like to meet you.	
xinpengyou	juste	好！她叫什么名字？	Hǎo! Tā jiào shénme míngzi?	Avec plaisir ! Comment s'appelle-t-elle ?	Sure! What's her name?	
xinpengyou	faux	他叫什么名字？	Tā jiào shénme míngzi?	Comment s'appelle-t-il ?	What's his name?	contresens
xinpengyou	faux	我在家吃饭。	Wǒ zài jiā chīfàn.	Je mange à la maison.	I'm eating at home.	hors-sujet
xinpengyou	ami	她叫小月，是学生。	Tā jiào Xiǎoyuè, shì xuésheng.	Elle s'appelle Xiaoyue, elle est étudiante.	Her name is Xiaoyue, she's a student.	
xinpengyou	juste	她学什么？	Tā xué shénme?	Qu'est-ce qu'elle étudie ?	What does she study?	
xinpengyou	faux	她是老师？	Tā shì lǎoshī?	Elle est professeure ?	She's a teacher?	contresens
xinpengyou	faux	今天很冷。	Jīntiān hěn lěng.	Il fait très froid aujourd'hui.	It's very cold today.	hors-sujet
xinpengyou	ami	她学中文，和你一样！	Tā xué Zhōngwén, hé nǐ yīyàng!	Elle apprend le chinois, comme toi !	She's learning Chinese, like you!	
xinpengyou	juste	太好了！我们明天见？	Tài hǎo le! Wǒmen míngtiān jiàn?	Super ! On se voit demain ?	Great! Shall we meet tomorrow?	
xinpengyou	faux	她不学中文？	Tā bù xué Zhōngwén?	Elle n'apprend pas le chinois ?	She doesn't study Chinese?	contresens
xinpengyou	faux	我想喝茶。	Wǒ xiǎng hē chá.	J'ai envie d'un thé.	I feel like some tea.	hors-sujet
xinpengyou	fin	好，明天见！	Hǎo, míngtiān jiàn!	D'accord, à demain !	OK, see you tomorrow!	
hanyu	ami	你学汉语多长时间了？	Nǐ xué Hànyǔ duō cháng shíjiān le?	Tu apprends le chinois depuis combien de temps ?	How long have you been learning Chinese?	
hanyu	juste	三个月了。	Sān ge yuè le.	Trois mois.	Three months.	
hanyu	faux	三点了。	Sān diǎn le.	Il est trois heures.	It's three o'clock.	contresens
hanyu	faux	我不出门了。	Wǒ bù chūmén le.	Je ne sors plus.	I'm not going out.	hors-sujet
hanyu	ami	汉语难不难？	Hànyǔ nán bù nán?	Le chinois, c'est difficile ?	Is Chinese hard?	
hanyu	juste	说很难，汉字不太难。	Shuō hěn nán, Hànzì bù tài nán.	Le parler, très ; les caractères, pas trop.	Speaking is very hard, the characters not so much.	
hanyu	faux	汉语书很贵。	Hànyǔ shū hěn guì.	Les livres de chinois sont chers.	Chinese books are expensive.	contresens
hanyu	faux	他二十岁。	Tā èrshí suì.	Il a vingt ans.	He's twenty.	hors-sujet
hanyu	ami	你能看这个吗？	Nǐ néng kàn zhège ma?	Tu arrives à lire ça ?	Can you read this?	
hanyu	juste	能，我都看得懂！	Néng, wǒ dōu kàn de dǒng!	Oui, je comprends tout !	Yes, I understand all of it!	
hanyu	faux	不能，我看不懂。	Bù néng, wǒ kàn bu dǒng.	Non, je ne comprends pas.	No, I can't understand it.	contresens
hanyu	faux	我家有四口人。	Wǒ jiā yǒu sì kǒu rén.	Nous sommes quatre dans ma famille.	There are four of us in my family.	hors-sujet
hanyu	fin	太好了！	Tài hǎo le!	Formidable !	Brilliant!	
chifan	ami	你吃饭了吗？	Nǐ chīfàn le ma?	Tu as mangé ?	Have you eaten?	
chifan	juste	还没有，你呢？	Hái méiyǒu, nǐ ne?	Pas encore, et toi ?	Not yet, and you?	
chifan	faux	我喝了。	Wǒ hē le.	J'ai bu.	I've had a drink.	contresens
chifan	faux	我有两本书。	Wǒ yǒu liǎng běn shū.	J'ai deux livres.	I have two books.	hors-sujet
chifan	ami	我也没吃。我们去饭馆吃面？	Wǒ yě méi chī. Wǒmen qù fànguǎn chī miàn?	Moi non plus. On va manger des nouilles au restaurant ?	Me neither. Shall we go and have noodles at a restaurant?	
chifan	juste	好！几点去？	Hǎo! Jǐ diǎn qù?	D'accord ! On y va à quelle heure ?	OK! What time?	
chifan	faux	我不想吃米饭。	Wǒ bù xiǎng chī mǐfàn.	Je n'ai pas envie de riz.	I don't feel like rice.	contresens
chifan	faux	我有三个杯子。	Wǒ yǒu sān ge bēizi.	J'ai trois tasses.	I've got three cups.	hors-sujet
chifan	ami	十二点，饭馆门口见。	Shí'èr diǎn, fànguǎn ménkǒu jiàn.	À midi, devant le restaurant.	At twelve, outside the restaurant.	
chifan	juste	好，十二点见！	Hǎo, shí'èr diǎn jiàn!	D'accord, à midi !	OK, see you at twelve!	
chifan	faux	好，两点见！	Hǎo, liǎng diǎn jiàn!	D'accord, à deux heures !	OK, see you at two!	contresens
chifan	faux	我在学中文。	Wǒ zài xué Zhōngwén.	J'apprends le chinois.	I'm learning Chinese.	hors-sujet
fanguan	ami	我们在饭馆，你想吃什么菜？	Wǒmen zài fànguǎn, nǐ xiǎng chī shénme cài?	On est au restaurant, qu'est-ce que tu veux manger ?	We're at the restaurant, what would you like to eat?	
fanguan	juste	我想吃肉和米饭。	Wǒ xiǎng chī ròu hé mǐfàn.	J'ai envie de viande et de riz.	I'd like meat and rice.	
fanguan	faux	我想去饭馆。	Wǒ xiǎng qù fànguǎn.	Je veux aller au restaurant.	I want to go to a restaurant.	contresens
fanguan	faux	他二十岁。	Tā èrshí suì.	Il a vingt ans.	He's twenty.	hors-sujet
fanguan	ami	喝什么？茶还是水？	Hē shénme? Chá háishi shuǐ?	Et à boire ? Du thé ou de l'eau ?	What to drink? Tea or water?	
fanguan	juste	喝茶。	Hē chá.	Du thé.	Tea.	
fanguan	faux	吃菜。	Chī cài.	Des légumes.	Vegetables.	contresens
fanguan	faux	我去过北京。	Wǒ qùguo Běijīng.	Je suis allé à Pékin.	I've been to Beijing.	hors-sujet
fanguan	ami	好，我点菜了。	Hǎo, wǒ diǎn cài le.	Bien, j'ai commandé.	OK, I've ordered.	
fanguan	juste	谢谢你！	Xièxie nǐ!	Merci !	Thank you!	
fanguan	faux	现在几点？	Xiànzài jǐ diǎn?	Quelle heure est-il ?	What time is it?	contresens
fanguan	faux	三个月了。	Sān ge yuè le.	Ça fait trois mois.	It's been three months.	hors-sujet
zuoche	ami	明天怎么去你家？	Míngtiān zěnme qù nǐ jiā?	Demain, comment je viens chez toi ?	How do I get to your place tomorrow?	
zuoche	juste	坐车来，不远。	Zuò chē lái, bù yuǎn.	Viens en bus, ce n'est pas loin.	Take the bus, it's not far.	
zuoche	faux	明天上午来。	Míngtiān shàngwǔ lái.	Viens demain matin.	Come tomorrow morning.	contresens
zuoche	faux	我喜欢花茶。	Wǒ xǐhuan huāchá.	J'aime le thé aux fleurs.	I like flower tea.	hors-sujet
zuoche	ami	几点到你家好？	Jǐ diǎn dào nǐ jiā hǎo?	J'arrive chez toi à quelle heure ?	What time should I get to your place?	
zuoche	juste	十点来，我在家。	Shí diǎn lái, wǒ zài jiā.	Viens à dix heures, je serai là.	Come at ten, I'll be home.	
zuoche	faux	坐车来。	Zuò chē lái.	Viens en bus.	Take the bus.	contresens
zuoche	faux	我女儿五岁了。	Wǒ nǚ'ér wǔ suì le.	Ma fille a cinq ans.	My daughter is five.	hors-sujet
zuoche	fin	好，十点见！	Hǎo, shí diǎn jiàn!	D'accord, à dix heures !	OK, see you at ten!	
kuai	ami	你快来，我们都在门口了！	Nǐ kuài lái, wǒmen dōu zài ménkǒu le!	Viens vite, on est tous devant la porte !	Hurry up, we're all at the door!	
kuai	juste	我马上到！	Wǒ mǎshàng dào!	J'arrive tout de suite !	I'll be right there!	
kuai	faux	你们都走了？	Nǐmen dōu zǒu le?	Vous êtes tous partis ?	You've all left?	contresens
kuai	faux	我不喝茶。	Wǒ bù hē chá.	Je ne bois pas de thé.	I don't drink tea.	hors-sujet
kuai	ami	你在哪里？	Nǐ zài nǎli?	Tu es où ?	Where are you?	
kuai	juste	我在车上。	Wǒ zài chē shàng.	Dans le bus.	On the bus.	
kuai	faux	四点。	Sì diǎn.	Quatre heures.	Four o'clock.	contresens
kuai	faux	我女儿五岁了。	Wǒ nǚ'ér wǔ suì le.	Ma fille a cinq ans.	My daughter is five.	hors-sujet
kuai	fin	好，快点！	Hǎo, kuài diǎn!	D'accord, dépêche-toi !	OK, hurry!	
xiexie	ami	谢谢你的书！很好看。	Xièxie nǐ de shū! Hěn hǎokàn.	Merci pour le livre ! Il est très bien.	Thanks for the book! It's great.	
xiexie	juste	不谢！你看完了？	Bù xiè! Nǐ kànwán le?	De rien ! Tu l'as fini ?	No problem! Have you finished it?	
xiexie	faux	我没有书。	Wǒ méiyǒu shū.	Je n'ai pas de livre.	I don't have a book.	contresens
xiexie	faux	三点半。	Sān diǎn bàn.	Trois heures et demie.	Half past three.	hors-sujet
xiexie	ami	还没有，还有五十页。	Hái méiyǒu, hái yǒu wǔshí yè.	Pas encore, il reste cinquante pages.	Not yet, fifty pages to go.	
xiexie	juste	看完了给我打电话。	Kànwán le gěi wǒ dǎ diànhuà.	Appelle-moi quand tu l'auras fini.	Call me when you've finished.	
xiexie	faux	你看完了？太快了！	Nǐ kànwán le? Tài kuài le!	Tu l'as fini ? Quelle vitesse !	You've finished? That was fast!	contresens
xiexie	faux	我想喝水。	Wǒ xiǎng hē shuǐ.	J'ai envie d'eau.	I'd like some water.	hors-sujet
faguo	ami	你是哪国人？	Nǐ shì nǎ guó rén?	Tu es de quel pays ?	Where are you from?	
faguo	juste	我是法国人。	Wǒ shì Fǎguó rén.	Je suis français.	I'm French.	
faguo	faux	我是学生。	Wǒ shì xuésheng.	Je suis étudiant.	I'm a student.	contresens
faguo	faux	我想喝水。	Wǒ xiǎng hē shuǐ.	J'ai envie d'eau.	I'd like some water.	hors-sujet
faguo	ami	法国大不大？	Fǎguó dà bù dà?	La France, c'est grand ?	Is France big?	
faguo	juste	没有中国大。	Méiyǒu Zhōngguó dà.	Moins grand que la Chine.	Not as big as China.	
faguo	faux	比中国大。	Bǐ Zhōngguó dà.	Plus grand que la Chine.	Bigger than China.	contresens
faguo	faux	我有一个哥哥。	Wǒ yǒu yī ge gēge.	J'ai un grand frère.	I have an older brother.	hors-sujet
faguo	ami	你喜欢中国菜吗？	Nǐ xǐhuan Zhōngguó cài ma?	Tu aimes la cuisine chinoise ?	Do you like Chinese food?	
faguo	juste	很喜欢！	Hěn xǐhuan!	Beaucoup !	Very much!	
faguo	faux	我是中国人。	Wǒ shì Zhōngguó rén.	Je suis chinois.	I'm Chinese.	contresens
faguo	faux	三点半。	Sān diǎn bàn.	Trois heures et demie.	Half past three.	hors-sujet
shouji	ami	我的手机不见了！	Wǒ de shǒujī bù jiàn le!	Mon téléphone a disparu !	My phone's gone missing!	
shouji	juste	在你家吗？	Zài nǐ jiā ma?	Il est chez toi ?	Is it at your place?	
shouji	faux	你有新手机？	Nǐ yǒu xīn shǒujī?	Tu as un nouveau téléphone ?	You've got a new phone?	contresens
shouji	faux	我不喝茶。	Wǒ bù hē chá.	Je ne bois pas de thé.	I don't drink tea.	hors-sujet
shouji	ami	不在家。我下午在饭馆吃饭了。	Bù zài jiā. Wǒ xiàwǔ zài fànguǎn chīfàn le.	Pas à la maison. Cet après-midi, j'ai mangé au restaurant.	Not at home. I ate at a restaurant this afternoon.	
shouji	juste	你去饭馆问问！	Nǐ qù fànguǎn wènwen!	Va demander au restaurant !	Go and ask at the restaurant!	
shouji	faux	你去书店问问！	Nǐ qù shūdiàn wènwen!	Va demander à la librairie !	Go and ask at the bookshop!	contresens
shouji	faux	今天很冷。	Jīntiān hěn lěng.	Il fait très froid aujourd'hui.	It's very cold today.	hors-sujet
shouji	ami	我去了，手机在那里！	Wǒ qù le, shǒujī zài nàli!	J'y suis allé, il était là-bas !	I went, and it was there!	
shouji	juste	太好了！	Tài hǎo le!	Tant mieux !	Great!	
shouji	faux	手机还没有？	Shǒujī hái méiyǒu?	Toujours pas de téléphone ?	Still no phone?	contresens
shouji	faux	三点半。	Sān diǎn bàn.	Trois heures et demie.	Half past three.	hors-sujet
shenti	ami	你爸爸身体好吗？	Nǐ bàba shēntǐ hǎo ma?	Ton père est en bonne santé ?	Is your dad in good health?	
shenti	juste	很好，谢谢！他还在工作。	Hěn hǎo, xièxie! Tā hái zài gōngzuò.	Très bonne, merci ! Il travaille encore.	Very good, thanks! He's still working.	
shenti	faux	他很高，谢谢！	Tā hěn gāo, xièxie!	Il est très grand, merci !	He's very tall, thanks!	contresens
shenti	faux	我给你介绍一个朋友。	Wǒ gěi nǐ jièshào yī ge péngyou.	Je vais te présenter un ami.	Let me introduce you to a friend.	hors-sujet
shenti	ami	他做什么工作？	Tā zuò shénme gōngzuò?	Il fait quel travail ?	What does he do?	
shenti	juste	他是医生。	Tā shì yīshēng.	Il est médecin.	He's a doctor.	
shenti	faux	他在工作。	Tā zài gōngzuò.	Il est au travail.	He's at work.	contresens
shenti	faux	在学校门口。	Zài xuéxiào ménkǒu.	Devant l'école.	Outside the school.	hors-sujet
shenti	fin	医生很忙吧！	Yīshēng hěn máng ba!	Les médecins ont beaucoup de travail !	Doctors must be very busy!	
kuaizi	ami	你会用筷子吗？	Nǐ huì yòng kuàizi ma?	Tu sais te servir des baguettes ?	Can you use chopsticks?	
kuaizi	juste	会，我在家常常用。	Huì, wǒ zài jiā chángcháng yòng.	Oui, je m'en sers souvent à la maison.	Yes, I often use them at home.	
kuaizi	faux	会，我常常用手机。	Huì, wǒ chángcháng yòng shǒujī.	Oui, j'utilise souvent mon téléphone.	Yes, I often use my phone.	contresens
kuaizi	faux	她是我们的同学。	Tā shì wǒmen de tóngxué.	C'est notre camarade de classe.	She's in our class.	hors-sujet
kuaizi	ami	那晚上我们去吃中国菜！	Nà wǎnshang wǒmen qù chī Zhōngguó cài!	Alors ce soir, on va manger chinois !	Then tonight we're having Chinese food!	
kuaizi	juste	好！我很喜欢中国菜。	Hǎo! Wǒ hěn xǐhuan Zhōngguó cài.	D'accord ! J'adore la cuisine chinoise.	OK! I love Chinese food.	
kuaizi	faux	好！我们去喝中国茶。	Hǎo! Wǒmen qù hē Zhōngguó chá.	D'accord ! On va boire du thé chinois.	OK! Let's go and drink Chinese tea.	contresens
kuaizi	faux	不太远。	Bù tài yuǎn.	Pas trop loin.	Not too far.	hors-sujet
tushuguan	ami	你在哪里？	Nǐ zài nǎli?	Tu es où ?	Where are you?	
tushuguan	juste	我在图书馆看书。	Wǒ zài túshūguǎn kàn shū.	À la bibliothèque, je lis.	At the library, reading.	
tushuguan	faux	我很好。	Wǒ hěn hǎo.	Je vais bien.	I'm fine.	contresens
tushuguan	faux	十二点见。	Shí'èr diǎn jiàn.	À midi.	See you at twelve.	hors-sujet
tushuguan	ami	图书馆几点关门？	Túshūguǎn jǐ diǎn guānmén?	La bibliothèque ferme à quelle heure ?	What time does the library close?	
tushuguan	juste	晚上九点。	Wǎnshang jiǔ diǎn.	À neuf heures du soir.	Nine in the evening.	
tushuguan	faux	九月。	Jiǔyuè.	En septembre.	In September.	contresens
tushuguan	faux	我不喝茶。	Wǒ bù hē chá.	Je ne bois pas de thé.	I don't drink tea.	hors-sujet
tushuguan	ami	九点我来图书馆，我们去吃饭？	Jiǔ diǎn wǒ lái túshūguǎn, wǒmen qù chīfàn?	Je passe à la bibliothèque à neuf heures, et on va manger ?	I'll come by the library at nine and we'll go and eat?	
tushuguan	juste	好，九点见！	Hǎo, jiǔ diǎn jiàn!	D'accord, à neuf heures !	OK, see you at nine!	
tushuguan	faux	好，六点见！	Hǎo, liù diǎn jiàn!	D'accord, à six heures !	OK, see you at six!	contresens
tushuguan	faux	他很高。	Tā hěn gāo.	Il est très grand.	He's very tall.	hors-sujet
dongtian	ami	北京的冬天很冷。	Běijīng de dōngtiān hěn lěng.	L'hiver à Pékin est très froid.	Winters in Beijing are very cold.	
dongtian	juste	法国的冬天也冷。	Fǎguó de dōngtiān yě lěng.	L'hiver en France aussi est froid.	French winters are cold too.	
dongtian	faux	北京冬天不冷？	Běijīng dōngtiān bù lěng?	L'hiver à Pékin n'est pas froid ?	Beijing winters aren't cold?	contresens
dongtian	faux	我会用筷子。	Wǒ huì yòng kuàizi.	Je sais me servir des baguettes.	I can use chopsticks.	hors-sujet
dongtian	ami	你冬天来北京吗？	Nǐ dōngtiān lái Běijīng ma?	Tu viens à Pékin en hiver ?	Are you coming to Beijing in winter?	
dongtian	juste	不，我八月来。	Bù, wǒ bāyuè lái.	Non, je viens en août.	No, I'm coming in August.	
dongtian	faux	是，我八月来。	Shì, wǒ bāyuè lái.	Oui, je viens en août.	Yes, I'm coming in August.	contresens
dongtian	faux	他是我的汉语老师。	Tā shì wǒ de Hànyǔ lǎoshī.	C'est mon professeur de chinois.	He's my Chinese teacher.	hors-sujet
dongtian	fin	八月好，不冷！	Bāyuè hǎo, bù lěng!	Août, c'est bien, il ne fait pas froid !	August is good, it's not cold!	
huahua	ami	你喜欢画画吗？	Nǐ xǐhuan huà huà ma?	Tu aimes dessiner ?	Do you like drawing?	
huahua	juste	喜欢，我常常画山和水。	Xǐhuan, wǒ chángcháng huà shān hé shuǐ.	Oui, je dessine souvent des montagnes et de l'eau.	Yes, I often draw mountains and water.	
huahua	faux	喜欢，我常常喝水。	Xǐhuan, wǒ chángcháng hē shuǐ.	Oui, je bois souvent de l'eau.	Yes, I often drink water.	contresens
huahua	faux	北京的冬天很冷。	Běijīng de dōngtiān hěn lěng.	L'hiver à Pékin est très froid.	Winters in Beijing are very cold.	hors-sujet
huahua	ami	我想看你的画！	Wǒ xiǎng kàn nǐ de huà!	Je voudrais voir tes dessins !	I'd love to see your drawings!	
huahua	juste	好，明天我给你看。	Hǎo, míngtiān wǒ gěi nǐ kàn.	D'accord, je te les montre demain.	OK, I'll show you tomorrow.	
huahua	faux	好，明天你给我看。	Hǎo, míngtiān nǐ gěi wǒ kàn.	D'accord, tu me les montres demain.	OK, you show me tomorrow.	contresens
huahua	faux	我八月来。	Wǒ bāyuè lái.	Je viens en août.	I'm coming in August.	hors-sujet
bing	ami	我病了，今天不去上课。	Wǒ bìng le, jīntiān bù qù shàngkè.	Je suis malade, je ne vais pas en cours aujourd'hui.	I'm ill, I'm not going to class today.	
bing	juste	你怎么了？	Nǐ zěnme le?	Qu'est-ce que tu as ?	What's wrong?	
bing	faux	太好了！	Tài hǎo le!	Super !	Great!	contresens
bing	faux	我在书店。	Wǒ zài shūdiàn.	Je suis à la librairie.	I'm at the bookshop.	hors-sujet
bing	ami	我很累，也很冷。	Wǒ hěn lèi, yě hěn lěng.	Je suis très fatigué, et j'ai très froid.	I'm very tired, and very cold.	
bing	juste	在家多喝水，别出门。	Zài jiā duō hē shuǐ, bié chūmén.	Reste à la maison, bois beaucoup d'eau, ne sors pas.	Stay home, drink lots of water, don't go out.	
bing	faux	我们出去玩吧！	Wǒmen chūqù wán ba!	Allons nous amuser dehors !	Let's go out and have fun!	contresens
bing	faux	一块钱一个。	Yī kuài qián yī ge.	Un yuan pièce.	One yuan each.	hors-sujet
bing	ami	好，谢谢你！	Hǎo, xièxie nǐ!	D'accord, merci !	OK, thanks!	
bing	juste	不谢！你好了给我打电话。	Bù xiè! Nǐ hǎo le gěi wǒ dǎ diànhuà.	De rien ! Appelle-moi quand tu iras mieux.	No problem! Call me when you're better.	
bing	faux	你也病了？	Nǐ yě bìng le?	Toi aussi, tu es malade ?	Are you ill too?	contresens
bing	faux	这是我的新车。	Zhè shì wǒ de xīn chē.	C'est ma nouvelle voiture.	This is my new car.	hors-sujet
nuer	ami	我女儿今天五岁了！	Wǒ nǚ'ér jīntiān wǔ suì le!	Ma fille a cinq ans aujourd'hui !	My daughter turns five today!	
nuer	juste	她五岁了？太好了！	Tā wǔ suì le? Tài hǎo le!	Elle a cinq ans ? Formidable !	She's five? Wonderful!	
nuer	faux	她十五岁了？	Tā shíwǔ suì le?	Elle a quinze ans ?	She's fifteen?	contresens
nuer	faux	我不喝水。	Wǒ bù hē shuǐ.	Je ne bois pas d'eau.	I don't drink water.	hors-sujet
nuer	ami	是！她想要一本书。	Shì! Tā xiǎng yào yī běn shū.	Oui ! Elle voudrait un livre.	Yes! She'd like a book.	
nuer	juste	好，我给她买一本书。	Hǎo, wǒ gěi tā mǎi yī běn shū.	D'accord, je vais lui acheter un livre.	OK, I'll buy her a book.	
nuer	faux	好，我给她买一个杯子。	Hǎo, wǒ gěi tā mǎi yī ge bēizi.	D'accord, je vais lui acheter une tasse.	OK, I'll buy her a cup.	contresens
nuer	faux	我在饭馆。	Wǒ zài fànguǎn.	Je suis au restaurant.	I'm at the restaurant.	hors-sujet
nuer	fin	谢谢你！	Xièxie nǐ!	Merci !	Thank you!	
shuiguo	ami	我在商店，这里的水果很好。	Wǒ zài shāngdiàn, zhèli de shuǐguǒ hěn hǎo.	Je suis au magasin, les fruits sont très bons ici.	I'm at the shop, the fruit here is great.	
shuiguo	juste	多少钱？	Duōshao qián?	C'est combien ?	How much?	
shuiguo	faux	你在饭馆？	Nǐ zài fànguǎn?	Tu es au restaurant ?	You're at the restaurant?	contresens
shuiguo	faux	他二十岁。	Tā èrshí suì.	Il a vingt ans.	He's twenty.	hors-sujet
shuiguo	ami	一块钱一个。	Yī kuài qián yī ge.	Un yuan pièce.	One yuan each.	
shuiguo	juste	不贵！给我买四个。	Bù guì! Gěi wǒ mǎi sì ge.	Pas cher ! Prends-m'en quatre.	Not expensive! Get me four.	
shuiguo	faux	太贵了！一百块！	Tài guì le! Yībǎi kuài!	Trop cher ! Cent yuans !	Too expensive! A hundred yuan!	contresens
shuiguo	faux	我在学写字。	Wǒ zài xué xiě zì.	J'apprends à écrire.	I'm learning to write.	hors-sujet
shuiguo	ami	好，四个，四块钱。	Hǎo, sì ge, sì kuài qián.	D'accord, quatre, ça fait quatre yuans.	OK, four, that's four yuan.	
shuiguo	juste	好，我给你钱。	Hǎo, wǒ gěi nǐ qián.	D'accord, je te rembourse.	OK, I'll pay you back.	
shuiguo	faux	十块钱？好。	Shí kuài qián? Hǎo.	Dix yuans ? D'accord.	Ten yuan? OK.	contresens
