# Les anecdotes du jour : un fait culturel ou historique, court, accroché à un caractère.
#
# Source : rédigé pour l'app, sans reprise d'un texte tiers (ni Wiktionary, ni
# encyclopédie recopiée). Les douze premières viennent de la maquette validée par le
# propriétaire (`maquettes/zilin-maquette.html`, septembre 2026) ; six y ont été
# corrigées : 四 (l'heure d'ouverture des Jeux de Pékin), 送 (l'anecdote de l'horloge,
# accrochée à 送 : 钟 n'est pas dans les traits exportés), 喜 (囍 est bien dans Unicode
# et les dictionnaires), 姓, 筷 et 春 (précisions). Celle du dragon 龙 n'est pas
# reprise : le dragon n'apparaît qu'au Nouvel An et à 端午 (CLAUDE.md, brief §5).
# Les autres sont écrites sur le même modèle, en session Claude Code, et restent à relire.
# Licence : textes propriétaires de l'app, comme les autres textes rédigés pour elle.
#
# Règles (brief §6, pas 1 « Ouvrir ») : un fait court, culturel ou historique, accroché
# à un seul caractère, de trois à cinq phrases, en français ; pas d'emoji, pas de
# dragon ; on n'y écrit que des faits largement attestés, et une légende se dit comme
# telle (« la légende », « on raconte », « aurait »). Les caractères sont pris d'abord
# sur le parcours Lire (les 90 premiers jours surtout), pour parler de ce que
# l'apprenant rencontre. `wenlu check` contrôle chaque ligne.
#
# Format : TSV, `#` en commentaire, sept colonnes séparées par une tabulation.
#
# - `c` : le caractère, un seul, unique dans le fichier, dessiné depuis ses traits ;
# - `titre`, `texte` : le titre (une phrase) et le texte (trois à cinq phrases) ;
# - `appui` : la nature de ce qui fonde le texte —
#   `langue` (sens, lectures, mots et expressions, tels que les dictionnaires les donnent),
#   `coutume` (usage ou croyance populaire largement documenté),
#   `histoire` (fait historique documenté),
#   `litterature` (texte classique cité, du domaine public),
#   `legende` (légende, dite comme telle dans le texte),
#   `ecriture` (histoire d'un caractère : forme ancienne, création, simplification) ;
# - `etiquette` : `atteste` ou `mnemotechnique` dès que le texte parle de l'origine
#   d'un caractère ou d'un mot (brief §2 : jamais l'un pour l'autre), vide sinon ;
# - `statut` : `relu` (validé par le propriétaire) ou `a_relire` ;
# - `source` : la provenance du texte.
c	titre	texte	appui	etiquette	statut	source
南	L'aiguille qui montre le sud.	La boussole se dit 指南针, « l'aiguille qui montre le sud » : on y regardait le sud là où nous regardons le nord. La boussole à aiguille est décrite en Chine dès le XIe siècle, par le savant Shen Kuo, bien avant l'Europe. Au figuré, 指南 est devenu le guide, le manuel.	histoire		a_relire	rédigé pour l'app
东	Une chose, c'est l'est et l'ouest.	东西 dōngxi, « l'est et l'ouest », veut dire une chose, un truc : 买东西, faire des courses. Lu dōngxī, avec son second ton plein, le même mot garde son sens de l'est à l'ouest. Pourquoi l'est et l'ouest sont devenus les choses, personne ne le sait vraiment : plusieurs explications circulent, aucune n'est prouvée.	langue		a_relire	rédigé pour l'app
后	Après, et l'impératrice.	后 hòu veut dire derrière, après : 以后, plus tard, 后天, après-demain. En écriture traditionnelle, ce sens s'écrit 後 ; 后 était un autre mot, la souveraine, qu'on lit encore dans 皇后, l'impératrice. La simplification a confié les deux sens au seul 后.	ecriture	atteste	a_relire	rédigé pour l'app
肉	La viande, c'est le porc.	Sur un menu, 肉 tout court veut le plus souvent dire le porc, la viande la plus mangée dans la plupart des régions de Chine. Pour les autres, on précise : 牛肉, le bœuf, 羊肉, le mouton, 鸡肉, le poulet. La Chine consomme à elle seule près de la moitié du porc mondial.	coutume		a_relire	rédigé pour l'app
个	Le classificateur passe-partout.	个 gè est le classificateur le plus courant : 一个人, une personne, 三个苹果, trois pommes. Quand on ne sait pas lequel employer, 个 passe presque partout. Mais les bons classificateurs disent la forme des choses : 一本书, un livre, 一张纸, une feuille de papier.	langue		a_relire	rédigé pour l'app
书	Les quatre trésors du lettré.	书法, « la règle de l'écriture », est la calligraphie, un art majeur en Chine. Le lettré avait ses 文房四宝, les quatre trésors du cabinet d'étude : le pinceau, l'encre, le papier et la pierre à encre. 书 veut aussi dire le livre : les 四书, les Quatre Livres, fondaient l'éducation confucéenne.	histoire		a_relire	rédigé pour l'app
汉	Le peuple d'une dynastie.	汉 est le nom de la dynastie Han, qui a régné quatre siècles, de 206 avant notre ère à 220 de notre ère. Son prestige est tel que la majorité des Chinois se disent encore 汉族, les Han. 汉字, « les caractères des Han », sont les sinogrammes, et 汉语, la langue chinoise.	histoire		a_relire	rédigé pour l'app
海	Revenu d'outre-mer.	海 est la mer. 海归, « revenu de la mer », désigne ceux qui rentrent en Chine après des études ou un travail à l'étranger. Le mot fait sourire, car il sonne exactement comme 海龟, la tortue de mer, qui revient elle aussi pondre sur la plage où elle est née.	langue		a_relire	rédigé pour l'app
李	Des pêchers et des pruniers partout.	李, la prune, est aussi l'un des noms de famille les plus portés de Chine. L'expression 桃李满天下, « des pêchers et des pruniers sous tout le ciel », se dit d'un professeur dont les élèves ont essaimé partout. 桃, la pêche, est le nom de Tao, qui t'accompagne sur ce chemin.	langue		a_relire	rédigé pour l'app
名	La carte à deux mains.	名 veut dire le nom : 名字, le prénom et le nom, 有名, célèbre. 名片, la carte de visite, se tend et se reçoit à deux mains, le texte tourné vers l'autre. On prend le temps de la lire avant de la ranger.	coutume		a_relire	rédigé pour l'app
花	Dépenser comme on fleurit.	花 veut dire la fleur, et aussi dépenser : 花钱, dépenser de l'argent, 花时间, passer du temps. 眼花, « les yeux en fleurs », c'est avoir la vue qui se brouille. Chaque ville a ses fleurs emblèmes : celles de Pékin sont le chrysanthème et la rose de Chine.	langue		a_relire	rédigé pour l'app
您	Le vous de respect.	您 nín est la forme polie de 你 : on l'emploie pour un aîné, un client, un professeur. Il n'a pas de pluriel courant : devant un groupe, on dit 你们, ou 各位, « chacun d'entre vous ». On l'entend surtout dans le nord, beaucoup moins dans le sud.	langue		a_relire	rédigé pour l'app
美	Le beau pays.	美 veut dire beau. Les États-Unis s'appellent 美国, « le beau pays », mais le nom vient d'abord du son : 美 transcrit le « mé » d'Amérique, 美利坚. La France, 法国, prend de même 法, le « fa » de France.	langue	atteste	a_relire	rédigé pour l'app
妈	Mā, má, mǎ, mà.	妈 mā, la maman, sert d'exemple dans tous les cours de tons : 妈 mā, 麻 má le chanvre, 马 mǎ le cheval, 骂 mà gronder. Même syllabe, quatre tons, quatre mots. Les débutants s'exercent sur 妈妈骂马吗, « maman gronde-t-elle le cheval ».	langue		a_relire	rédigé pour l'app
马	Cheval, cheval, tigre, tigre.	马马虎虎, « cheval cheval tigre tigre », veut dire comme ci comme ça, ou bâclé. Une histoire populaire l'attribue à un peintre qui ne savait plus s'il peignait un cheval ou un tigre, mais personne ne sait d'où l'expression est vraiment née. 马上, « sur le cheval », veut dire tout de suite.	langue		a_relire	rédigé pour l'app
话	La parole commune.	话 veut dire la parole, la langue parlée. 普通话, « la parole commune », est le mandarin standard, fondé sur la prononciation de Pékin, que l'école enseigne dans tout le pays. Chacun garde souvent aussi son dialecte : le cantonais, 广东话, ou le shanghaïen, 上海话.	langue		a_relire	rédigé pour l'app
